"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","016518","Ancient Age 1.75L","22.95","2.00","20.95","11.97"
"STRAIGHT BOURBON WHISKEY","016676","Basil Hayden's 750ml","41.95","3.00","38.95","51.93"
"STRAIGHT BOURBON WHISKEY","021482","Benchmark Bourbon #8 1.75L","19.95","2.00","17.95","10.26"
"STRAIGHT BOURBON WHISKEY","017020","Bowman Brothers 750ml","29.95","2.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","027454","Cinerator Hot Cinnamon Flavored Whiskey 750ml","15.90","2.95","12.95","17.27"
"STRAIGHT BOURBON WHISKEY","017916","Elijah Craig 750ml","26.95","1.00","25.95","34.60"
"STRAIGHT BOURBON WHISKEY","017958","Evan Williams Black 1.75L","25.95","2.00","23.95","13.69"
"STRAIGHT BOURBON WHISKEY","018120","Evan Williams Single Barrel 750ml","28.95","2.00","26.95","35.93"
"STRAIGHT BOURBON WHISKEY","016096","Evan Williams White 750ml","13.95","1.00","12.95","17.27"
"STRAIGHT BOURBON WHISKEY","018352","Four Roses Bourbon 750ml","18.90","3.00","15.90","21.20"
"STRAIGHT BOURBON WHISKEY","018350","Four Roses Single Barrel Bourbon 750ml","39.90","3.00","36.90","49.20"
"STRAIGHT BOURBON WHISKEY","019009","Jefferson's Very Small Batch 750ml","29.95","2.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","019078","Jim Beam 7 Year 1.75L","41.95","3.00","38.95","22.26"
"STRAIGHT BOURBON WHISKEY","019028","Jim Beam Black 1.75L","49.95","5.00","44.95","25.69"
"STRAIGHT BOURBON WHISKEY","016708","Jim Beam's Choice 1.75L","36.90","2.00","34.90","19.94"
"STRAIGHT BOURBON WHISKEY","019338","Kentucky Supreme 1.75L","17.95","2.00","15.95","9.11"
"STRAIGHT BOURBON WHISKEY","019235","Knob Creek Single Barrel Reserve 750ml","44.95","4.00","40.95","54.60"
"STRAIGHT BOURBON WHISKEY","018856","Larceny Bourbon 750ml","27.90","3.00","24.90","33.20"
"STRAIGHT BOURBON WHISKEY","019476","Maker's Mark 750ml","29.95","2.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","020908","Old 1889 Brand 1.75L","18.90","2.00","16.90","9.66"
"STRAIGHT BOURBON WHISKEY","020368","Old Forester 1.75L","33.90","3.00","30.90","17.66"
"STRAIGHT BOURBON WHISKEY","020456","Old Grand Dad 1.75L","34.95","3.00","31.95","18.26"
"STRAIGHT BOURBON WHISKEY","020988","Olde Bourbon 1.75L","18.90","2.00","16.90","9.66"
"STRAIGHT BOURBON WHISKEY","021208","Rebel Yell 1.75L","24.90","2.00","22.90","13.09"
"STRAIGHT BOURBON WHISKEY","027544","Red Stag 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027406","Red Stag Hardcore Cider 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027582","Red Stag Spiced with Cinnamon 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","022178","Russell's Reserve Single Barrel 750ml","49.95","3.00","46.95","62.60"
"STRAIGHT BOURBON WHISKEY","021348","Sam Clay 1.75L","18.90","2.00","16.90","9.66"
"STRAIGHT BOURBON WHISKEY","022158","Wild Turkey 101 1.75L","49.95","4.00","45.95","26.26"
"STRAIGHT BOURBON WHISKEY","022156","Wild Turkey 101 750ml","24.90","1.95","22.95","30.60"
"STRAIGHT BOURBON WHISKEY","022166","Wild Turkey Bourbon PET 750ml","24.90","1.95","22.95","30.60"
"STRAIGHT BOURBON WHISKEY","022205","Wild Turkey Rare Breed 750ml","39.90","2.95","36.95","49.27"
"STRAIGHT BOURBON WHISKEY","022216","Woodford Reserve 750ml","34.95","3.00","31.95","42.60"
"TENNESSEE WHISKEY","026589","Gentleman Jack 1.75L","63.90","6.00","57.90","33.09"
"TENNESSEE WHISKEY","026658","George Dickel #12 1.75L","42.90","3.00","39.90","22.80"
"TENNESSEE WHISKEY","026828","Jack Daniel's 7 Black 1.75L","49.95","5.00","44.95","25.69"
"TENNESSEE WHISKEY","026907","Jack Daniel's Single Barrel 1L","56.95","5.00","51.95","51.95"
"TENNESSEE WHISKEY","026906","Jack Daniel's Single Barrel 750ml","49.95","5.00","44.95","59.93"
