"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","016518","Ancient Age 1.75L","22.95","2.00","20.95","11.97"
"STRAIGHT BOURBON WHISKEY","016676","Basil Hayden's 750ml","41.95","3.00","38.95","51.93"
"STRAIGHT BOURBON WHISKEY","021482","Benchmark Bourbon #8 1.75L","19.95","2.00","17.95","10.26"
"STRAIGHT BOURBON WHISKEY","016826","Bird Dog Bourbon 750ml","17.95","2.00","15.95","21.27"
"STRAIGHT BOURBON WHISKEY","027454","Cinerator Hot Cinnamon Flavored Whiskey 750ml","15.90","2.95","12.95","17.27"
"STRAIGHT BOURBON WHISKEY","017510","Clyde May's Conecuh Ridge Whisky 750ml","34.50","2.55","31.95","42.60"
"STRAIGHT BOURBON WHISKEY","017946","Elmer T Lee Bourbon 750ml","31.95","2.00","29.95","39.93"
"STRAIGHT BOURBON WHISKEY","017958","Evan Williams Black 1.75L","25.95","2.00","23.95","13.69"
"STRAIGHT BOURBON WHISKEY","018352","Four Roses Bourbon 750ml","18.90","3.00","15.90","21.20"
"STRAIGHT BOURBON WHISKEY","018350","Four Roses Single Barrel Bourbon 750ml","39.90","3.00","36.90","49.20"
"STRAIGHT BOURBON WHISKEY","027682","Jim Beam Kentucky Fire 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","019036","Jim Beam Signature Craft 12YR 750ml","39.90","3.00","36.90","49.20"
"STRAIGHT BOURBON WHISKEY","019116","Jim Beam Single Barrel 750ml","34.95","3.00","31.95","42.60"
"STRAIGHT BOURBON WHISKEY","016708","Jim Beam's Choice 1.75L","36.90","2.00","34.90","19.94"
"STRAIGHT BOURBON WHISKEY","019235","Knob Creek Single Barrel Reserve 750ml","46.95","4.05","42.90","57.20"
"STRAIGHT BOURBON WHISKEY","018856","Larceny Bourbon 750ml","27.90","3.00","24.90","33.20"
"STRAIGHT BOURBON WHISKEY","019436","Lexington 750ml","29.95","4.00","25.95","34.60"
"STRAIGHT BOURBON WHISKEY","020908","Old 1889 Brand 1.75L","18.90","2.00","16.90","9.66"
"STRAIGHT BOURBON WHISKEY","020368","Old Forester 1.75L","34.95","5.00","29.95","17.11"
"STRAIGHT BOURBON WHISKEY","027544","Red Stag 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027406","Red Stag Hardcore Cider 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027582","Red Stag Spiced with Cinnamon 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","022178","Russell's Reserve Single Barrel 750ml","51.90","2.95","48.95","65.27"
"TENNESSEE WHISKEY","026658","George Dickel #12 1.75L","43.90","4.00","39.90","22.80"
"TENNESSEE WHISKEY","026828","Jack Daniel's 7 Black 1.75L","51.90","5.00","46.90","26.80"
"TENNESSEE WHISKEY","086673","Jack Daniel's Tennessee Honey 1.75L","49.95","5.00","44.95","25.69"
"STRAIGHT RYE WHISKEY","027048","Knob Creek Rye 750ml","41.95","4.00","37.95","50.60"
"MOONSHINE","027503","Georgia Moon Peach Fruit Jar 750ml","13.95","1.00","12.95","17.27"
"MOONSHINE","076049","Junior Johnson's Midnight Moon 100 Proof 750ml","21.90","2.00","19.90","26.53"
"MOONSHINE","076036","Junior Johnson's Midnight Moon Apple Pie 750ml","21.90","2.00","19.90","26.53"
"MOONSHINE","076044","Junior Johnson's Midnight Moon Blueberry 750ml","21.90","2.00","19.90","26.53"
"MOONSHINE","076040","Junior Johnson's Midnight Moon Strawberry 750ml","21.90","2.00","19.90","26.53"
"BLENDED WHISKEY","072427","Benchmark Brown Sugar Flavored Whiskey 750ml","12.90","1.95","10.95","14.60"
"BLENDED WHISKEY","023708","Fleischmann's Preferred 1.75L","15.90","2.00","13.90","7.94"
"BLENDED WHISKEY","014474","Revel Stoke Roasted Pecan 750ml","16.95","2.00","14.95","19.93"
"WHISKEY","073695","Early Times Fire Eater Cinnamon Flavored Whiskey 750ml","15.90","3.00","12.90","17.20"
"WHISKEY","073715","Evan Williams Cherry Reserve Flavored Whiskey 750ml","13.95","2.00","11.95","15.93"
"GRAPE BRANDY (DOMESTIC)","052136","Christian Brothers Frost 750ml","12.45","1.50","10.95","14.60"
