"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","021236","1792 Ridgemont Reserve 750ml","31.95","3.00","28.95","38.60"
"STRAIGHT BOURBON WHISKEY","016518","Ancient Age 1.75L","22.95","2.00","20.95","11.97"
"STRAIGHT BOURBON WHISKEY","016676","Basil Hayden's 750ml","41.95","3.00","38.95","51.93"
"STRAIGHT BOURBON WHISKEY","021482","Benchmark Bourbon #8 1.75L","19.95","2.00","17.95","10.26"
"STRAIGHT BOURBON WHISKEY","016826","Bird Dog Bourbon 750ml","17.95","2.00","15.95","21.27"
"STRAIGHT BOURBON WHISKEY","016906","Booker's 750ml","59.95","5.00","54.95","73.27"
"STRAIGHT BOURBON WHISKEY","027454","Cinerator Hot Cinnamon Flavored Whiskey 750ml","15.90","2.95","12.95","17.27"
"STRAIGHT BOURBON WHISKEY","017958","Evan Williams Black 1.75L","25.95","2.00","23.95","13.69"
"STRAIGHT BOURBON WHISKEY","016096","Evan Williams White 750ml","13.95","1.00","12.95","17.27"
"STRAIGHT BOURBON WHISKEY","018198","Ezra Brooks 1.75L","24.90","2.00","22.90","13.09"
"STRAIGHT BOURBON WHISKEY","018352","Four Roses Bourbon 750ml","18.90","3.00","15.90","21.20"
"STRAIGHT BOURBON WHISKEY","018350","Four Roses Single Barrel Bourbon 750ml","39.90","3.00","36.90","49.20"
"STRAIGHT BOURBON WHISKEY","019009","Jefferson's Very Small Batch 750ml","29.95","2.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","019036","Jim Beam Signature Craft 12YR 750ml","39.90","3.00","36.90","49.20"
"STRAIGHT BOURBON WHISKEY","019116","Jim Beam Single Barrel 750ml","34.95","3.00","31.95","42.60"
"STRAIGHT BOURBON WHISKEY","016708","Jim Beam's Choice 1.75L","36.90","2.00","34.90","19.94"
"STRAIGHT BOURBON WHISKEY","019235","Knob Creek Single Barrel Reserve 750ml","46.95","4.05","42.90","57.20"
"STRAIGHT BOURBON WHISKEY","018856","Larceny Bourbon 750ml","27.90","3.00","24.90","33.20"
"STRAIGHT BOURBON WHISKEY","019436","Lexington 750ml","29.95","4.00","25.95","34.60"
"STRAIGHT BOURBON WHISKEY","019486","Maker's Mark 46 Bourbon 750ml","39.90","2.95","36.95","49.27"
"STRAIGHT BOURBON WHISKEY","020908","Old 1889 Brand 1.75L","18.90","2.00","16.90","9.66"
"STRAIGHT BOURBON WHISKEY","020368","Old Forester 1.75L","33.90","3.00","30.90","17.66"
"STRAIGHT BOURBON WHISKEY","020116","Old Grand Dad 114 750ml","22.95","2.00","20.95","27.93"
"STRAIGHT BOURBON WHISKEY","020988","Olde Bourbon 1.75L","18.90","2.00","16.90","9.66"
"STRAIGHT BOURBON WHISKEY","027544","Red Stag 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027406","Red Stag Hardcore Cider 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027577","Red Stag Honey Tea 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027582","Red Stag Spiced with Cinnamon 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","022178","Russell's Reserve Single Barrel 750ml","51.90","2.95","48.95","65.27"
"STRAIGHT BOURBON WHISKEY","021348","Sam Clay 1.75L","18.90","2.00","16.90","9.66"
"TENNESSEE WHISKEY","026658","George Dickel #12 1.75L","42.90","3.00","39.90","22.80"
"TENNESSEE WHISKEY","026826","Jack Daniel's 7 Black 750ml","24.90","2.00","22.90","30.53"
"TENNESSEE WHISKEY","086673","Jack Daniel's Tennessee Honey 1.75L","49.95","5.00","44.95","25.69"
"STRAIGHT RYE WHISKEY","027080","(Ri)1 750ml","39.90","3.00","36.90","49.20"
"STRAIGHT RYE WHISKEY","027048","Knob Creek Rye 750ml","41.95","4.00","37.95","50.60"
"STRAIGHT RYE WHISKEY","027120","Wild Turkey Rye 81 750ml","24.90","1.95","22.95","30.60"
"MOONSHINE","086684","Firefly Apple Pie Mooneshine 750ml","19.95","2.00","17.95","23.93"
"MOONSHINE","086686","Firefly Caramel Moonshine 750ml","19.95","2.00","17.95","23.93"
"MOONSHINE","027503","Georgia Moon Peach Fruit Jar 750ml","13.95","1.00","12.95","17.27"
"MOONSHINE","086728","Ole Smoky Moonshine Cherries 750ml","28.95","4.00","24.95","33.27"
"MOONSHINE","086732","Ole Smoky Peach Moonshine 750ml","28.95","4.00","24.95","33.27"
"MOONSHINE","086724","Ole Smoky Tennessee Apple Pie Moonshine 750ml","28.95","4.00","24.95","33.27"
