"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","021236","1792 Ridgemont Reserve 750ml","31.95","3.00","28.95","38.60"
"STRAIGHT BOURBON WHISKEY","016538","Ancient Ancient Age 1.75L","25.95","2.00","23.95","13.69"
"STRAIGHT BOURBON WHISKEY","016580","Baker's 750ml","48.90","5.00","43.90","58.53"
"STRAIGHT BOURBON WHISKEY","017017","Bowman's Bourbon 1L","10.45","1.00","9.45","9.45"
"STRAIGHT BOURBON WHISKEY","017086","Bulleit Bourbon 750ml","30.90","2.00","28.90","38.53"
"STRAIGHT BOURBON WHISKEY","017836","Early Times Bourbon 354 750ml","14.95","2.00","12.95","17.27"
"STRAIGHT BOURBON WHISKEY","018098","Evan Williams 1783 1.75L","29.95","2.00","27.95","15.97"
"STRAIGHT BOURBON WHISKEY","018048","Evan Williams Green 1.75L","20.95","2.00","18.95","10.83"
"STRAIGHT BOURBON WHISKEY","018276","Fighting Cock 750ml","17.95","1.00","16.95","22.60"
"STRAIGHT BOURBON WHISKEY","018348","Four Roses Small Batch Bourbon 750ml","32.95","5.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","018568","Henry McKenna 1.75L","23.95","4.00","19.95","11.40"
"STRAIGHT BOURBON WHISKEY","018656","Henry McKenna Single Barrel 750ml","26.95","3.00","23.95","31.93"
"STRAIGHT BOURBON WHISKEY","018928","J.T.S. Brown 1.75L","18.50","2.00","16.50","9.43"
"STRAIGHT BOURBON WHISKEY","019006","Jefferson's Reserve 750ml","49.95","2.00","47.95","63.93"
"STRAIGHT BOURBON WHISKEY","019068","Jim Beam 1.75L","30.90","2.00","28.90","16.51"
"STRAIGHT BOURBON WHISKEY","019112","Jim Beam Devil's Cut 750ml","26.95","2.05","24.90","33.20"
"STRAIGHT BOURBON WHISKEY","027410","Jim Beam Honey 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","019032","Jim Beam Jacob's Ghost 750ml","24.90","1.95","22.95","30.60"
"STRAIGHT BOURBON WHISKEY","027392","Jim Beam Maple 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","019226","Knob Creek 750ml","34.95","4.00","30.95","41.27"
"STRAIGHT BOURBON WHISKEY","027604","Knob Creek Smoked Maple 750ml","34.95","4.00","30.95","41.27"
"STRAIGHT BOURBON WHISKEY","019638","Mattingly & Moore 1.75L","18.90","2.00","16.90","9.66"
"STRAIGHT BOURBON WHISKEY","020454","Old Grand Dad 750ml","17.95","1.00","16.95","22.60"
"STRAIGHT BOURBON WHISKEY","020988","Olde Bourbon 1.75L","18.90","2.00","16.90","9.66"
"STRAIGHT BOURBON WHISKEY","022175","Wild Turkey Russell Reserve 750ml","34.95","2.00","32.95","43.93"
"STRAIGHT BOURBON WHISKEY","086923","Wild Turkey Spiced 750ml","22.95","2.00","20.95","27.93"
"TENNESSEE WHISKEY","026608","George Dickel #8 1.75L","37.95","3.00","34.95","19.97"
"TENNESSEE WHISKEY","086673","Jack Daniel's Tennessee Honey 1.75L","49.95","5.00","44.95","25.69"
"CORN WHISKEY","027260","Everclear Lightnin Corn Whiskey 750ml","16.95","2.00","14.95","19.93"
"STRAIGHT RYE WHISKEY","027025","Bulleit Rye 750ml","31.95","2.00","29.95","39.93"
"STRAIGHT RYE WHISKEY","027058","Jim Beam Rye 1.75L","37.95","2.00","35.95","20.54"
"MOONSHINE","027326","Georgia Moon 750ml","13.95","1.00","12.95","17.27"
"MOONSHINE","076049","Junior Johnson's Midnight Moon 100 Proof 750ml","21.90","3.00","18.90","25.20"
"MOONSHINE","076032","Junior Johnson's Midnight Moon 750ml","21.90","3.00","18.90","25.20"
"MOONSHINE","076036","Junior Johnson's Midnight Moon Apple Pie 750ml","21.90","3.00","18.90","25.20"
"MOONSHINE","076042","Junior Johnson's Midnight Moon Blackberry 750ml","21.90","3.00","18.90","25.20"
"MOONSHINE","076044","Junior Johnson's Midnight Moon Blueberry 750ml","21.90","3.00","18.90","25.20"
"MOONSHINE","076038","Junior Johnson's Midnight Moon Cherry 750ml","21.90","3.00","18.90","25.20"
"MOONSHINE","076046","Junior Johnson's Midnight Moon Cranberry 750ml","21.90","3.00","18.90","25.20"
"MOONSHINE","076040","Junior Johnson's Midnight Moon Strawberry 750ml","21.90","3.00","18.90","25.20"
"MOONSHINE","027317","Southern Corn Whiskey 750ml","29.95","2.00","27.95","37.27"
"MOONSHINE","027633","Virginia Lightning Apple Pie 750ml","22.95","3.00","19.95","26.60"
"MOONSHINE","027616","Virginia Lightning Cherry 750ml","22.95","3.00","19.95","26.60"
"BLENDED WHISKEY","027434","Bird Dog Peach Flavored Whiskey 750ml","17.95","2.00","15.95","21.27"
"BLENDED WHISKEY","024458","Kessler 1.75L","19.95","2.00","17.95","10.26"
"BLENDED WHISKEY","024658","Mattingly & Moore Blend 1.75L","18.90","2.00","16.90","9.66"
"WHISKEY","027418","Bird Dog Maple Flavored Whiskey 750ml","17.95","2.00","15.95","21.27"
"WHISKEY","017668","Distiller's Pride 1.75L","16.95","2.00","14.95","8.54"
"WHISKEY","073695","Early Times Fire Eater Cinnamon Flavored Whiskey 750ml","15.90","3.00","12.90","17.20"
"GRAPE BRANDY (DOMESTIC)","052316","Christian Brothers Brandy 750ml","12.45","1.50","10.95","14.60"
"GRAPE BRANDY (DOMESTIC)","053206","Paul Masson Grande Amber VSOP 750ml","14.40","1.00","13.40","17.87"
"GRAPE BRANDY (DOMESTIC)","052166","The Christian Brothers X.O. 750ml","13.95","2.00","11.95","15.93"
"BRANDY IMPORTED","051036","Asbach Uralt Brandy 750ml","29.95","2.95","27.00","36.00"
"CANADIAN WHISKY","010628","Canadian Club 1.75L","30.90","3.00","27.90","15.94"
"CANADIAN WHISKY","010846","Canadian Club Small Batch Classic 750ml","23.95","2.00","21.95","29.27"
"CANADIAN WHISKY","012308","Canadian Hunter 1.75L","19.95","2.00","17.95","10.26"
"CANADIAN WHISKY","011058","Canadian Macnaughton 1.75L","19.95","2.50","17.45","9.97"
"CANADIAN WHISKY","013248","Harwood Canadian 1.75L","17.25","2.00","15.25","8.71"
"CANADIAN WHISKY","012858","Rich & Rare Reserve Canadian 1.75L","24.90","4.95","19.95","11.40"
"COCKTAILS (DOMESTIC)","062494","Middle Sister Cranberry Cosmo RTD 750ml","14.95","1.00","13.95","18.60"
"COCKTAILS (DOMESTIC)","063545","Sauza Sparkling Lime Margarita 750ml","12.90","2.00","10.90","14.53"
"COCKTAILS (DOMESTIC)","063543","Sauza Sparkling Mango Peach Margarita 750ml","12.90","2.00","10.90","14.53"
"COGNAC/ARMAGNAC","047833","Courvoisier Exclusif VSOP 750ml","39.90","4.95","34.95","46.60"
"COGNAC/ARMAGNAC","064795","Courvoisier Rose 750ml","24.90","1.95","22.95","30.60"
"COGNAC/ARMAGNAC","047786","Courvoisier VS 750ml","31.95","2.00","29.95","39.93"
"COGNAC/ARMAGNAC","048106","Hennessy VS 750ml","35.95","2.00","33.95","45.27"
"COGNAC/ARMAGNAC","048361","Kelt VSOP 750ml","61.95","4.00","57.95","77.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","082706","California Butterscotch 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","072722","Christian Brothers Honey Liqueur 750ml","11.95","1.50","10.45","13.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073496","Dekuyper Amaretto Signature 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","085526","Dekuyper Blue Curacao 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073463","Dekuyper Mixologist Muddled Mint 750ml","12.90","1.95","10.95","14.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","086111","Dekuyper Triple Sec 1.75L","12.90","2.00","10.90","6.23"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073721","Evan Williams Cinnamon Reserve Flavored Whiskey 750ml","13.95","2.00","11.95","15.93"
